incident_id,date,description,city,state,location,attack_type,ideology,subideology,group,location_type,israel_zionism_related,predicted_category,terms_detected,source,processed_date
70360,2024-12-30,An individual yelled antisemitic comments at a person standing outside of a restaurant.,San Francisco,CA,"San Francisco, CA",Antisemitic Incident: Harassment,,,,Business Establishment,,Antisemitism,,refined,2025-12-16
73115,2024-12-30,A public Menorah was vandalized at a park.,Wildwood Crest,NJ,"Wildwood Crest, NJ",Antisemitic Incident: Vandalism,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
68773,2024-12-29,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Revolution is our tradition,"" ""Life, liberty, victory"" and ""Reclaim America.""",Greenwood Village,CO,"Greenwood Village, CO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68774,2024-12-29,"Patriot Front, a white supremacist group, posted stickers that read: ""Revolution is our tradition,"" ""No Zionists in government, we serve one nation,"" ""Life, liberty, victory"" and ""American by blood.""",Thornton,CO,"Thornton, CO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68776,2024-12-29,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Reject poison,"" ""Patriot Front,"" ""One nation, against invasion"" and ""Strong families, strong nations.""",Mechanicsville,VA,"Mechanicsville, VA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68777,2024-12-29,"Patriot Front, a white supremacist group, posted stickers that read: ""American by blood,"" ""No Zionists in government, we serve one nation,"" ""Strong families, strong nations"" and ""One nation, against invasion.""",Stafford,VA,"Stafford, VA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
73041,2024-12-29,"At an anti-Israel rally organized by Rally Middletown, protesters held signs with messages that included: ""Free America from the Zionist terrorist regime"" (with imagery depicting a Star of David dripping with blood) and ""Zionism is terrorism.""",Middletown,NY,"Middletown, NY",Antisemitic Incident: Harassment,,,,Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68760,2024-12-28,"An individual yelled, ""Happy October 7th,"" at a Jewish person at the University of California, Los Angeles.",Los Angeles,CA,"Los Angeles, CA",Antisemitic Incident: Harassment,,,,College/University,1.0,Antisemitism,,refined,2025-12-16
68761,2024-12-28,"A Jewish person's car was vandalized with: ""Adolf.""",Broomfield,CO,"Broomfield, CO",Antisemitic Incident: Vandalism,,,,Home/Housing,,Antisemitism,,refined,2025-12-16
68762,2024-12-28,"Patriot Front, the white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""American spirit, European blood,"" ""Reclaim America"" and ""Revolution is our tradition.""",Evergreen,CO,"Evergreen, CO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
