incident_id,date,predicted_category_machine,predicted_category_human,state,year,month,year_month,quarter
63887,2024-01-16,Slogans / Code words,Antisemitism,New Jersey,2024,1,2024-01,1
63640,2024-01-15,Key Concepts / Definitions,Antisemitism,Colorado,2024,1,2024-01,1
63634,2024-01-31,Publications,Antisemitism,Pennsylvania,2024,1,2024-01,1
64119,2024-02-01,Slogans / Code words,Antisemitism,Michigan,2024,2,2024-02,1
63932,2024-02-02,Numbers / Symbols,Antisemitism,Washington D.C.,2024,2,2024-02,1
63911,2024-01-30,Slogans / Code words,Antisemitism,Texas,2024,1,2024-01,1
69115,2024-01-29,Slogans / Code words,Antisemitism,Massachusetts,2024,1,2024-01,1
65008,2024-01-29,Numbers / Symbols,Antisemitism,Colorado,2024,1,2024-01,1
69116,2024-01-29,Groups / Movements,Antisemitism,California,2024,1,2024-01,1
69117,2024-01-28,Numbers / Symbols,Antisemitism,North Carolina,2024,1,2024-01,1
69118,2024-01-28,Slogans / Code words,Antisemitism,Virginia,2024,1,2024-01,1
69119,2024-01-28,Slogans / Code words,Antisemitism,Georgia,2024,1,2024-01,1
69120,2024-01-28,Slogans / Code words,Antisemitism,Hawaii,2024,1,2024-01,1
69121,2024-01-28,Numbers / Symbols,Antisemitism,Washington,2024,1,2024-01,1
69122,2024-01-27,Slogans / Code words,Antisemitism,New York,2024,1,2024-01,1
69123,2024-01-27,Groups / Movements,Antisemitism,Massachusetts,2024,1,2024-01,1
69124,2024-01-27,Numbers / Symbols,Antisemitism,California,2024,1,2024-01,1
69125,2024-01-27,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69126,2024-01-27,Slogans / Code words,Antisemitism,Florida,2024,1,2024-01,1
69127,2024-01-27,People,Antisemitism,Illinois,2024,1,2024-01,1
69128,2024-01-27,Groups / Movements,Antisemitism,Illinois,2024,1,2024-01,1
69129,2024-01-27,Groups / Movements,Antisemitism,Maryland,2024,1,2024-01,1
69130,2024-01-27,Slogans / Code words,Antisemitism,Georgia,2024,1,2024-01,1
69131,2024-01-27,Slogans / Code words,Antisemitism,Nebraska,2024,1,2024-01,1
69132,2024-01-27,Slogans / Code words,Antisemitism,Texas,2024,1,2024-01,1
69133,2024-01-16,Slogans / Code words,Antisemitism,Massachusetts,2024,1,2024-01,1
69134,2024-01-16,Numbers / Symbols,Antisemitism,Georgia,2024,1,2024-01,1
69135,2024-01-16,Slogans / Code words,Antisemitism,North Carolina,2024,1,2024-01,1
69136,2024-01-15,Groups / Movements,Antisemitism,Pennsylvania,2024,1,2024-01,1
69137,2024-01-14,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69138,2024-01-14,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69139,2024-01-14,Numbers / Symbols,Antisemitism,Texas,2024,1,2024-01,1
69140,2024-01-14,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
63844,2024-01-29,Numbers / Symbols,Antisemitism,New Jersey,2024,1,2024-01,1
69141,2024-01-27,Slogans / Code words,Antisemitism,New Hampshire,2024,1,2024-01,1
69142,2024-01-27,Groups / Movements,Antisemitism,New York,2024,1,2024-01,1
69143,2024-01-27,Groups / Movements,Antisemitism,Minnesota,2024,1,2024-01,1
69144,2024-01-27,Numbers / Symbols,Antisemitism,Pennsylvania,2024,1,2024-01,1
69145,2024-01-27,Numbers / Symbols,Antisemitism,Connecticut,2024,1,2024-01,1
69146,2024-01-27,Slogans / Code words,Antisemitism,Ohio,2024,1,2024-01,1
69147,2024-01-27,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69148,2024-01-27,Numbers / Symbols,Antisemitism,Georgia,2024,1,2024-01,1
69149,2024-01-27,Slogans / Code words,Antisemitism,Indiana,2024,1,2024-01,1
69150,2024-01-27,Slogans / Code words,Antisemitism,North Carolina,2024,1,2024-01,1
