incident_id,confidence,is_correct,confidence_bin
63903,0.5544114950497945,0,40-50%
63737,0.5544114950497945,0,40-50%
63804,0.5537359360059102,0,40-50%
63673,0.5544114950497945,0,40-50%
63767,0.4925249758561452,0,30-40%
63605,0.554411614259084,0,40-50%
63462,0.5544114950497945,0,40-50%
63564,0.6643569750785827,0,60-70%
63447,0.554411614259084,0,40-50%
63576,0.554411614259084,0,40-50%
60709,0.610617304166158,0,50-60%
63644,0.5544114950497945,0,40-50%
63466,0.5544114950497945,0,40-50%
63468,0.5544114950497945,0,40-50%
63877,0.5544114950497945,0,40-50%
63693,0.5387147052288055,0,40-50%
63810,0.5708955171902974,0,40-50%
68925,0.5544114950497945,0,40-50%
63637,0.5921334905624389,0,50-60%
63824,0.6502358876864115,0,60-70%
63519,0.5856598261197408,0,50-60%
63766,0.6158377809524536,0,50-60%
63751,0.5956578218142191,0,50-60%
63524,0.5021241548856099,0,30-40%
59520,0.5817520860036214,0,50-60%
59754,0.6697097980181376,0,60-70%
59724,0.5091802123387654,0,40-50%
59605,0.5387873295148213,0,40-50%
60312,0.6364175640741984,0,50-60%
59568,0.5346278789838155,0,40-50%
59993,0.5196428540547688,0,40-50%
59719,0.6642350517908732,0,60-70%
59361,0.6098965091705322,0,50-60%
59964,0.5793493353525797,0,50-60%
60059,0.5855040791829427,0,50-60%
60134,0.5831851922671,0,50-60%
59104,0.642087304910024,0,60-70%
59183,0.6619432531992594,0,60-70%
59524,0.5457442644437154,0,40-50%
59641,0.5504333618481954,0,40-50%
68927,0.5876730047861735,0,50-60%
68928,0.5609507802327474,0,40-50%
68929,0.6116303168932596,0,50-60%
68930,0.6229511184692382,0,50-60%
64970,0.5491993072827657,0,40-50%
68931,0.6249423904418945,0,50-60%
68932,0.647187439918518,0,60-70%
68933,0.528448605855306,0,40-50%
68934,0.6277865413029988,0,50-60%
68935,0.6183797402381896,0,50-60%
59102,0.5752917173703511,0,50-60%
59230,0.5571000539461771,0,40-50%
59340,0.5865680856704711,0,50-60%
59353,0.5410709662437438,0,40-50%
60396,0.5430568102200826,0,40-50%
59391,0.5639589392344156,0,40-50%
59939,0.5122458580334981,0,40-50%
59609,0.5541554672718048,0,40-50%
59387,0.5904999338785807,0,50-60%
59162,0.5356195532480875,0,40-50%
59712,0.5369635465939839,0,40-50%
59554,0.6549088044166564,0,60-70%
60300,0.5911984089215596,0,50-60%
59995,0.6681476794878641,0,60-70%
59376,0.5571000539461771,0,40-50%
63692,0.554411614259084,0,40-50%
63885,0.6694147868156433,0,60-70%
63747,0.5737310611406962,0,50-60%
63721,0.554411614259084,0,40-50%
63690,0.6870737357139587,0,60-70%
63507,0.6516248269081115,0,60-70%
63790,0.6401314380963643,0,50-60%
68936,0.4894089940388997,0,30-40%
68937,0.6574188434282938,0,60-70%
68938,0.5385410431226094,0,40-50%
68939,0.5753900372187296,0,50-60%
68940,0.5591363870302836,0,40-50%
68941,0.706315128326416,0,60-70%
68942,0.6208891514142354,0,50-60%
68943,0.572275007088979,0,40-50%
68944,0.59646165005366,0,50-60%
68945,0.5658982359568278,0,40-50%
68946,0.5783068183263143,0,50-60%
68947,0.6180341803232828,0,50-60%
68948,0.6522660536766052,0,60-70%
68949,0.6268546862602233,0,50-60%
68950,0.5713808499972025,0,40-50%
68951,0.6228002591133117,0,50-60%
68952,0.6202434582710266,0,50-60%
68953,0.6156202518145243,0,50-60%
68954,0.5777828656832377,0,50-60%
68955,0.5185986998875936,0,40-50%
68956,0.5945024135907491,0,50-60%
68957,0.5887005888621012,0,50-60%
68958,0.5265587213834126,0,40-50%
68959,0.5838125907580057,0,50-60%
68960,0.584937151590983,0,50-60%
68961,0.6091130061149597,0,50-60%
68962,0.60949134461085,0,50-60%
68963,0.5826850179036458,0,50-60%
68964,0.6486546638806661,0,60-70%
68965,0.7925282680193583,0,80-90%
68966,0.597739156405131,0,50-60%
68967,0.54295929702123,0,40-50%
68968,0.6240222417513529,0,50-60%
68969,0.6508024298350016,0,60-70%
68970,0.682786608060201,0,60-70%
68971,0.6060466729799906,0,50-60%
68972,0.5919862353006998,0,50-60%
68973,0.6025792005856832,0,50-60%
68974,0.6142380797068278,0,50-60%
68975,0.6140445156097412,0,50-60%
68976,0.6533234678904215,0,60-70%
68977,0.5923629048665364,0,50-60%
68978,0.6145243926048278,0,50-60%
68979,0.6276212894121805,0,50-60%
68980,0.5805137399037679,0,50-60%
68981,0.5402679684956868,0,40-50%
68982,0.7225199901262919,0,70-80%
68983,0.6467797441482543,0,60-70%
68984,0.5849915110270182,0,50-60%
68985,0.529597902615865,0,40-50%
68986,0.6070441567103068,0,50-60%
68987,0.5772453192075093,0,50-60%
63523,0.4989736341635386,0,30-40%
63792,0.5447503609657287,0,40-50%
63484,0.5695765856107076,0,40-50%
63870,0.5351990146636962,0,40-50%
63807,0.4949628078142802,0,30-40%
63922,0.5623684210777282,0,40-50%
63483,0.6675636135737101,0,60-70%
63711,0.5544114950497945,0,40-50%
63649,0.6116938554445902,0,50-60%
63899,0.5544114950497945,0,40-50%
63758,0.4687848630746206,0,30-40%
63850,0.6248250885009765,0,50-60%
63749,0.6290534380276998,0,50-60%
68988,0.5455792827606201,0,40-50%
63594,0.558766627629598,0,40-50%
63650,0.645544016679128,0,60-70%
63660,0.5912462158203124,0,50-60%
64975,0.5856594406763712,0,50-60%
63504,0.5395019892056783,0,40-50%
68989,0.6252109093666076,0,50-60%
63537,0.6321509443918863,0,50-60%
63772,0.5425147059758504,0,40-50%
63642,0.6409648024241129,0,50-60%
63739,0.5639512502352396,0,40-50%
63800,0.6299438161849975,0,50-60%
63664,0.6254756692250569,0,50-60%
63867,0.6171899123191833,0,50-60%
63823,0.5478814485867818,0,40-50%
63774,0.5554974658489227,0,40-50%
63451,0.6714264435768127,0,60-70%
63802,0.6039099656740824,0,50-60%
63871,0.5465435627301534,0,40-50%
63880,0.6935404820442199,0,60-70%
63577,0.5654580834706624,0,40-50%
68990,0.5451991521517435,0,40-50%
63815,0.5619919541676839,0,40-50%
63624,0.5647925976117452,0,40-50%
63775,0.5974961204528808,0,50-60%
63604,0.577253365834554,0,50-60%
63795,0.6725001020431518,0,60-70%
63580,0.5314298831621805,0,40-50%
63797,0.5647259596188863,0,40-50%
63586,0.4437102917035421,0,30-40%
63840,0.6397626363436381,0,50-60%
63761,0.4662622752984365,0,30-40%
63890,0.5162086728413899,0,40-50%
65545,0.5297694447835286,0,40-50%
63857,0.6284920536677042,0,50-60%
63723,0.5541655662854512,0,40-50%
63866,0.554411614259084,0,40-50%
63526,0.556736791451772,0,40-50%
63874,0.6348809563318888,0,50-60%
63794,0.5302383863131205,0,40-50%
